shape id,point id,x,y
0,0,46,407
0,1,46,407
0,2,35,396.4285736
0,3,25,376.4285736
0,4,25,356.4285736
0,5,25,356.4285736
0,6,25,356.4285736
0,7,33,356.4285736
0,8,38,377.4285736
0,9,42,374.4285736
0,10,39,358.4285736
0,11,39,335.4285736
0,12,45,336.4285736
0,13,57,328.4285736
0,14,63,334.4285736
0,15,67,332.4285736
0,16,76,341.4285736
0,17,81,344.4285736
0,18,86,368.4285736
0,19,84,386.4285736
0,20,78,405.4285736
0,21,46,408.4285736
1,0,305,408.4285736
1,1,294,387.4285736
1,2,294,378.4285736
1,3,297,368.4285736
1,4,296,345.4285736
1,5,298,341.4285736
1,6,304,338.4285736
1,7,307,332.4285736
1,8,314,332.4285736
1,9,318,334.4285736
1,10,321,331.4285736
1,11,329,333.4285736
1,12,333,337.4285736
1,13,337,338.4285736
1,14,340,344.4285736
1,15,335,377.4285736
1,16,341,377.4285736
1,17,342,367.4285736
1,18,346,358.4285736
1,19,350,356.4285736
1,20,353,366.4285736
1,21,352,379.4285736
1,22,340,397.4285736
1,23,333,405.4285736
1,24,329,413.4285736
1,25,305,408.4285736
2,0,159,706
2,1,161,682
2,2,218,682
2,3,218,705
2,4,159,706
3,0,155,711
3,1,147,722
3,2,143,743
3,3,146,746
3,4,148,774
3,5,157,787
3,6,172,795
3,7,185,800
3,8,197,799
3,9,210,795
3,10,219,789
3,11,229,780
3,12,230,768
3,13,231,754
3,14,233,745
3,15,235,739
3,16,230,723
3,17,225,713
3,18,218,705
3,19,159,706
4,0,199,66.71429443
4,1,194,51.71429443
4,2,191,45.71429443
4,3,195,33.71429443
4,4,198,24.71429443
4,5,204,20.71429443
4,6,220,22.71429443
4,7,234,24.71429443
4,8,241,27.71429443
4,9,235,38.71429443
4,10,227,46.71429443
4,11,225,60.71429443
4,12,223,67.71429443
4,13,199,66.71429443
6,0,154,62.71429443
6,1,151,47.71429443
6,2,147,39.71429443
6,3,139,32.71429443
6,4,135,30.71429443
6,5,141,25.71429443
6,6,153,23.71429443
6,7,166,22.71429443
6,8,174,22.71429443
6,9,181,25.71429443
6,10,184,38.71429443
6,11,185,49.71429443
6,12,180,59.71429443
6,13,179,62.71429443
6,14,154,62.71429443
7,0,115,547.4285736
7,1,117,639.4285736
7,2,260,639.4285736
7,3,263,545.4285736
7,4,115,547.4285736
8,0,117,390.4285736
8,1,263,388.4285736
8,2,261,428.4285736
8,3,258,444.4285736
8,4,254,455.4285736
8,5,253,468.4285736
8,6,125,468.4285736
8,7,123,452.4285736
8,8,119,437.4285736
8,9,118,422.4285736
8,10,117,390.4285736
9,0,87,639.4285736
9,1,89,645.4285736
9,2,95,655.4285736
9,3,109,660.4285736
9,4,122,664.4285736
9,5,134,671.4285736
9,6,147,675.4285736
9,7,155,682.4285736
9,8,161,682
9,9,222,681.4285736
9,10,230,675.4285736
9,11,242,672.4285736
9,12,257,665.4285736
9,13,266,661.4285736
9,14,274,660.4285736
9,15,283,654.4285736
9,16,293,639.4285736
9,17,87,639.4285736
10,0,293,634.4285736
10,1,297,618.4285736
10,2,296,599.4285736
10,3,292,586.4285736
10,4,297,570.4285736
10,5,300,560.4285736
10,6,299,545.4285736
10,7,263,545.4285736
10,8,260,639.4285736
10,9,293,639.4285736
10,10,293,634.4285736
11,0,294,437.4285736
11,1,283,454.4285736
11,2,278,468.4285736
11,3,274,479.4285736
11,4,269,494.4285736
11,5,269,505.4285736
11,6,266,519.4285736
11,7,264,529.4285736
11,8,263,545.4285736
11,9,299,545.4285736
11,10,306,525.4285736
11,11,310,516.4285736
11,12,316,500.4285736
11,13,318,489.4285736
11,14,322,469.4285736
11,15,322,457.4285736
11,16,324,444.4285736
11,17,294,435.4285736
12,0,295,436.4285736
12,1,302,426.4285736
12,2,305,408.4285736
12,3,329,413.4285736
12,4,328,428.4285736
12,5,324,444.4285736
12,6,295,436.4285736
14,0,52,441.4285736
14,1,50,422.4285736
14,2,46,408.4285736
14,3,78,405.4285736
14,4,75,417.4285736
14,5,82,435.4285736
14,6,52,441.4285736
15,0,115,547.4285736
15,1,123,525.4285736
15,2,128,504.4285736
15,3,128,482.4285736
15,4,125,468.4285736
15,5,253,468.4285736
15,6,251,488.4285736
15,7,251,506.4285736
15,8,255,525.4285736
15,9,263,545.4285736
15,10,115,547.4285736
16,0,202,90.71429443
16,1,228,90.71429443
16,2,223,80.71429443
16,3,223,67.71429443
16,4,198,67.71429443
16,5,200,82.71429443
16,6,202,90.71429443
17,0,151,90.71429443
17,1,156,74.71429443
17,2,154,62.71429443
17,3,179,62.71429443
17,4,177,77.71429443
17,5,176,91.71429443
17,6,151,90.71429443
18,0,151,90.71429443
18,1,127,163.7142944
18,2,125,187.7142944
18,3,127,199.7142944
18,4,131,217.7142944
18,5,178,217.7142944
18,6,182,190.7142944
18,7,183,162.7142944
18,8,179,148.7142944
18,9,179,116.7142944
18,10,176,91.71429443
18,11,151,90.71429443
19,0,202,218.7142944
19,1,196,190.7142944
19,2,194,164.7142944
19,3,199,148.7142944
19,4,199,121.7142944
19,5,202,90.71429443
19,6,228,90.71429443
19,7,250,161.7142944
19,8,253,190.7142944
19,9,249,207.7142944
19,10,244,220.8571472
19,11,203,218.8571472
20,0,131,217.7142944
20,1,137,229.8571472
20,2,133,242.8571472
20,3,133,253.8571472
20,4,135,260.8571472
20,5,184,261.8571472
